Timestamp,How many members reside in your household?,Which services do you currently pay for across individual/separate providers?,Choice Card 1: Review the comparative Starter options. Which of these would you prefer for your household?,Choice Card 2: Review the comparative Connect options. Which of these would you prefer for your household?,Choice Card 3: Review the comparative Family Secure options. Which of these would you prefer for your household?,Choice Card 4: Review the comparative Infinite options. Which of these would you prefer for your household?,"How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I worry that if one service goes down (e.g., fiber cut), I will lose all connectivity (mobile, internet, TV) at once.]","How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Migrating numbers or installing multiple hardware units (routers, TV boxes, cameras) is too complicated and time-consuming.]",How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Consolidating will not save me significant money compared to choosing separate cheaper providers.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I prefer separate monthly bills because it helps me manage my expenses better than one large combined invoice.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I am concerned about data privacy and sharing too much household behavior data with a single telecom company.],Which adjacent benefits would make you MORE likely to bundle services under one provider? (Select all that apply),"What is the single biggest factor that would convince you to switch your entire household to a unified ecosystem (e.g., Altura Home / Airtel Black)?"
6/5/2026 16:51:23,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Agree,Strongly Disagree,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills","Zero downtime guarantee across all services, not just a discount."
7/11/2026 16:09:21,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","No more fearing one outage kills internet, calls and TV together."
7/6/2026 18:16:22,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",One simple bill so I can actually see where my money goes.
5/21/2026 19:14:42,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",A backup connection so a single fault never causes a total blackout.
6/15/2026 18:11:55,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Neutral,Disagree,Disagree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Simple installation - one visit for router, TV box and camera, not three."
6/3/2026 19:10:59,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Disagree,Agree,Strongly Agree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)","Hassle-free setup, I dread coordinating router, set-top box and camera installs."
5/26/2026 20:32:57,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",No blackout risk. If fiber goes down I still want mobile signal to work.
6/5/2026 11:04:14,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Neutral,Agree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
6/28/2026 15:19:01,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Payments Bank features offering high interest (7%) and cashback on utility bills",Assurance that mobile stays live even if the home fibre line fails.
5/27/2026 14:48:31,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Trust that one outage won't silence my entire household connectivity.
6/19/2026 15:52:01,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",No blackout risk. If fiber goes down I still want mobile signal to work.
6/29/2026 19:29:34,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Agree,Strongly Agree,Agree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","No more fearing one outage kills internet, calls and TV together."
5/26/2026 17:54:14,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Disagree,Disagree,Agree,Neutral,AI-powered Home Security Cameras with phone alerts & cloud recording,A backup connection so a single fault never causes a total blackout.
6/14/2026 11:37:34,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills","Real savings in rupees, not vague promises of a cheaper bundle."
5/25/2026 12:18:02,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Neutral,Agree,Disagree,Strongly Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Consistent speeds during peak hours across mobile and broadband.
6/17/2026 7:47:00,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Disagree,Disagree,Disagree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",More control over my data and clear privacy commitments from the provider.
6/20/2026 10:30:52,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Disagree,Strongly Agree,Neutral,Agree,"Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",A backup connection so a single fault never causes a total blackout.
5/31/2026 11:19:24,2,"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Agree,Disagree,Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Payments Bank features offering high interest (7%) and cashback on utility bills","Loyalty rewards and cashback that make me feel valued, not just billed."
5/21/2026 15:36:21,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Assurance that mobile stays live even if the home fibre line fails.
7/5/2026 9:51:39,1 (Just me),"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Disagree,Agree,Neutral,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Reduce the friction of porting my number and re-installing hardware.
6/11/2026 9:18:46,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Agree,Neutral,Strongly Agree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Transparent pricing - show me the real rupee savings versus my current providers.
6/17/2026 12:08:43,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Strongly Agree,Neutral,Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Quick and easy migration of my existing number without waiting days.
7/8/2026 20:08:07,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Disagree,Strongly Agree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Proof of network redundancy so a fibre cut doesn't blackout everything.
7/18/2026 20:24:32,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",A backup connection so a single fault never causes a total blackout.
6/29/2026 7:59:11,5+,"Mobile Postpaid/Prepaid SIMs, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Less onboarding fatigue - one appointment instead of juggling multiple technicians.
7/2/2026 17:33:15,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Payments Bank features offering high interest (7%) and cashback on utility bills",Autopay discount and no surprise charges added later.
7/2/2026 13:03:51,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills","Straightforward invoice, not five confusing bills from different companies."
5/21/2026 19:32:50,5+,"Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Neutral,Agree,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",Autopay discount and no surprise charges added later.
6/20/2026 12:59:11,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Proof of network redundancy so a fibre cut doesn't blackout everything.
7/11/2026 10:51:46,5+,"Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Neutral,Disagree,Strongly Agree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Confidence that my household data is not overshared with one company.
7/13/2026 10:17:00,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Neutral,Agree,Disagree,Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",A backup connection so a single fault never causes a total blackout.
6/18/2026 11:10:29,3-4,"Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Agree,Agree,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",No SIM porting delay or paperwork hassle during the switch.
6/5/2026 11:44:59,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Disagree,Agree,Agree,Agree,Disagree,Google One Cloud Storage (100GB to 2TB) for device backups,A dedicated installation manager to coordinate all the hardware setup.
